container_source_id,container_relative_path,entry_path,archive_depth,uncompressed_bytes,compressed_bytes,crc32,sha256,outer_exact_match_paths,inspection_status
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/fixtures/state-snapshot-missing-data.json,1,1116,488,2B104299,2A18892B7E7F7826E4B726EC1EDC20FC38B69B70ED70738B495E8D2EB5EDA8D5,06-cross-system/fitness-ecosystem-research/fixtures/state-snapshot-missing-data.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/fixtures/weekly-plan-reason-coded.json,1,1142,484,8BA34810,8EEC6BFF3B440D84F77BF6EBC9AF14F661F49287B62FE9B6EF3E8D62DE3AF326,06-cross-system/fitness-ecosystem-research/fixtures/weekly-plan-reason-coded.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/scripts/validate_contracts.py,1,2265,952,73BA6FBE,5D0528B75CFE5E70CD08F1E58841D700F28EEF4E742BE66EBF0ABD39023055D0,06-cross-system/fitness-ecosystem-research/scripts/validate_contracts.py,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/scripts/verify.sh,1,908,575,34A73FF9,FB207CBE3780FE569AE7E62F2FD548D8DC2B0785CAA9D49A5CE3601963CB7CD2,06-cross-system/fitness-ecosystem-research/scripts/verify.sh,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/worktree/00-baseline-audit/README.md,1,1019,645,327BD9DE,53658897A356F42038D363D08A6ABF3773118019A0FA2914BB940EE6A317B956,06-cross-system/fitness-ecosystem-research/worktree/00-baseline-audit/README.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/worktree/01-contracts-and-sync/README.md,1,787,475,65959823,D85B1D81FD83FC4589C17EAFEEDCF0D19D94BAC8A7B281F7BA56E0FDA0691B59,06-cross-system/fitness-ecosystem-research/worktree/01-contracts-and-sync/README.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/worktree/02-state-engine/README.md,1,735,433,DEEF0AA2,F2F6B8712C8E21BDFC76C29997386467AA0C6A78BD28C4AA853564821872AF55,06-cross-system/fitness-ecosystem-research/worktree/02-state-engine/README.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/worktree/03-package-split/README.md,1,695,414,3B4E024D,57FF766E6F906E53EB57D4C8CF8131691DEB02E72BC44C1269EAF62344DEEFFD,06-cross-system/fitness-ecosystem-research/worktree/03-package-split/README.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/worktree/04-conditioning-canary/README.md,1,701,431,6ED657AF,18237148827874AB46157931BB85B35BC36A040488BA1743734A8E32B1F1EB31,06-cross-system/fitness-ecosystem-research/worktree/04-conditioning-canary/README.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/worktree/05-strength-migration/README.md,1,693,405,A6EA4A11,784BE17A401D28437BA7A1084425E1491E7618DDEAD5DD4648DEAE886E8CB8D2,06-cross-system/fitness-ecosystem-research/worktree/05-strength-migration/README.md,content_hashed_not_executed
